exon_1	ref|NC_080065.1|	93.939	66	1.72e-19	99.6
exon_2	ref|NC_080065.1|	93.103	58	6.64e-15	83.8
exon_3	ref|NC_080065.1|	94.565	92	1.73e-32	143
exon_4	ref|NC_080065.1|	95.890	73	2.51e-24	115
exon_5	ref|NC_080065.1|	94.393	107	5.35e-39	165
exon_6	ref|NC_080065.1|	90.000	130	6.33e-36	155
exon_7	ref|NC_080065.1|	90.909	99	4.30e-27	125
exon_8	ref|NC_080065.1|	92.899	169	1.86e-61	240
exon_9	ref|NC_080065.1|	95.506	89	1.00e-32	145
exon_10	ref|NC_080065.1|	89.200	250	8.28e-74	281
exon_11	ref|NC_080065.1|	93.939	66	3.35e-19	99.6
exon_11	ref|NC_080065.1|	100.000	40	3.11e-13	79.8
exon_12	ref|NC_080065.1|	91.034	145	8.15e-45	184
exon_13	ref|NC_080065.1|	89.130	92	5.77e-18	95.6
exon_14	ref|NC_080065.1|	90.310	258	6.46e-81	305
