exon_1	NW_020173241.1	94.545	55	3	0	1	55	890816	890870	1.35e-15	85.7
exon_2	NW_020173241.1	93.103	58	4	0	1	58	891228	891285	5.47e-15	83.8
exon_3	NW_020173241.1	91.304	92	8	0	1	92	898161	898252	2.06e-25	119
exon_4	NW_020173241.1	95.890	73	1	1	1	71	898976	899048	2.07e-24	115
exon_5	NW_020173241.1	95.327	107	5	0	1	107	899332	899438	1.81e-41	172
exon_6	NW_020173241.1	91.538	130	11	0	3	132	899584	899713	8.77e-41	170
exon_7	NW_020173241.1	91.919	99	8	0	2	100	899879	899977	1.45e-29	133
exon_8	NW_020173241.1	88.618	123	14	0	50	172	900148	900270	2.57e-29	133
exon_9	NW_020173241.1	94.382	89	5	0	2	90	900357	900445	2.02e-30	137
exon_10	NW_020173241.1	89.960	249	25	0	1	249	900665	900913	4.54e-78	295
exon_11	NW_020173241.1	93.333	135	7	2	5	137	901181	901315	9.51e-44	180
exon_12	NW_020173241.1	93.793	145	9	0	1	145	901411	901555	1.91e-54	216
exon_13	NW_020173241.1	90.780	141	12	1	10	149	902133	902273	3.99e-40	168
exon_14	NW_020173241.1	91.772	158	13	0	11	168	902376	902533	1.33e-52	210
