exon_1	ref|NW_020838065.1|	90.909	55	4.39e-13	77.9	Sagmatias obliquidens isolate GAN/ISIS:26980383/991018 unplaced genomic scaffold, ASM367639v1 scaffold121, whole genome shotgun sequence
exon_3	ref|NW_020838065.1|	89.011	91	1.01e-25	120	Sagmatias obliquidens isolate GAN/ISIS:26980383/991018 unplaced genomic scaffold, ASM367639v1 scaffold121, whole genome shotgun sequence
exon_5	ref|NW_020838065.1|	85.321	109	2.70e-27	125	Sagmatias obliquidens isolate GAN/ISIS:26980383/991018 unplaced genomic scaffold, ASM367639v1 scaffold121, whole genome shotgun sequence
exon_7	ref|NW_020838065.1|	80.769	104	3.52e-19	98.7	Sagmatias obliquidens isolate GAN/ISIS:26980383/991018 unplaced genomic scaffold, ASM367639v1 scaffold121, whole genome shotgun sequence
exon_8	ref|NW_020838065.1|	88.652	141	1.93e-44	183	Sagmatias obliquidens isolate GAN/ISIS:26980383/991018 unplaced genomic scaffold, ASM367639v1 scaffold121, whole genome shotgun sequence
exon_10	ref|NW_020838065.1|	81.860	215	5.87e-53	213	Sagmatias obliquidens isolate GAN/ISIS:26980383/991018 unplaced genomic scaffold, ASM367639v1 scaffold121, whole genome shotgun sequence
exon_11	ref|NW_020838065.1|	84.672	137	3.13e-34	150	Sagmatias obliquidens isolate GAN/ISIS:26980383/991018 unplaced genomic scaffold, ASM367639v1 scaffold121, whole genome shotgun sequence
exon_12	ref|NW_020838065.1|	79.054	148	1.33e-26	124	Sagmatias obliquidens isolate GAN/ISIS:26980383/991018 unplaced genomic scaffold, ASM367639v1 scaffold121, whole genome shotgun sequence
exon_13	ref|NW_020838065.1|	83.688	141	1.21e-33	148	Sagmatias obliquidens isolate GAN/ISIS:26980383/991018 unplaced genomic scaffold, ASM367639v1 scaffold121, whole genome shotgun sequence
exon_14	ref|NW_020838065.1|	82.738	168	3.53e-41	173	Sagmatias obliquidens isolate GAN/ISIS:26980383/991018 unplaced genomic scaffold, ASM367639v1 scaffold121, whole genome shotgun sequence
exon_14	ref|NW_020837950.1|	75.824	91	3.78e-09	66.2	Sagmatias obliquidens isolate GAN/ISIS:26980383/991018 unplaced genomic scaffold, ASM367639v1 scaffold6, whole genome shotgun sequence
