exon_1	NC_083316.1	85.455	110	16	0	43	152	666081	666190	9.35e-17	91.7
exon_1	NC_083316.1	96.552	29	1	0	53	81	646725	646753	3.18e-04	50.1
exon_2	NC_083316.1	84.337	83	13	0	29	111	653553	653635	7.22e-08	61.9
exon_2	NC_083316.1	85.714	77	10	1	54	130	671014	671089	1.13e-06	58.0
exon_3	NC_083316.1	89.610	77	6	1	55	131	672251	672325	1.94e-14	83.8
exon_3	NC_083316.1	86.111	72	10	0	39	110	654117	654188	1.80e-08	63.9
exon_4	NC_083316.1	82.558	172	30	0	11	182	672870	673041	2.84e-20	103
exon_6	NC_083316.1	92.771	83	6	0	31	113	675973	676055	1.10e-24	117
exon_6	NC_083323.1	91.667	36	3	0	24	59	99721588	99721553	8.44e-04	48.1
exon_6	NC_083323.1	91.667	36	3	0	24	59	99747716	99747681	8.44e-04	48.1
exon_7	NC_083316.1	88.406	69	6	1	28	96	676720	676786	1.06e-09	67.9
exon_8	NC_083316.1	81.529	157	28	1	1	157	678185	678340	2.15e-11	73.8
exon_11	NC_083316.1	91.892	37	3	0	22	58	759604	759568	3.18e-04	50.1
