exon_1	NC_045765.1	94.545	55	3	0	1	55	19323881	19323935	8.62e-16	86.9
exon_2	NC_045765.1	93.103	58	4	0	1	58	19324293	19324350	2.55e-16	87.8
exon_3	NC_045765.1	90.000	100	9	1	1	100	19332427	19332525	1.62e-29	132
exon_4	NC_045765.1	95.890	73	1	1	1	71	19333239	19333311	7.37e-25	116
exon_5	NC_045765.1	93.694	111	7	0	1	111	19333595	19333705	2.57e-40	169
exon_6	NC_045765.1	91.538	130	11	0	3	132	19333847	19333976	4.21e-45	186
exon_7	NC_045765.1	91.919	99	8	0	2	100	19334141	19334239	9.47e-33	143
exon_8	NC_045765.1	87.805	123	15	0	50	172	19334410	19334532	9.92e-36	155
exon_9	NC_045765.1	80.088	226	24	2	2	206	19334619	19334844	4.26e-54	215
exon_10	NC_045765.1	90.000	250	25	0	1	250	19334927	19335176	6.49e-91	339
exon_11	NC_045765.1	92.806	139	8	2	1	137	19335439	19335577	2.00e-49	199
exon_12	NC_045765.1	93.243	148	10	0	1	148	19335673	19335820	1.97e-56	223
exon_13	NC_045765.1	89.655	145	14	1	6	149	19336391	19336535	1.15e-46	191
exon_13	NC_045769.1	81.132	53	10	0	97	149	7447810	7447758	7.30e-05	51.8
exon_14	NC_045765.1	90.476	168	16	0	1	168	19336628	19336795	4.37e-59	232
